town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,_id,block,time,lease_years,lease_years_int,size_sqft,cost_psf,days_ago,storey_min,storey_max,storey_mid,full_name,group_count,group_storey_min,group_storey_max,storey_rank,group_cost_psf_max,group_cost_psf_max_date,year
SENGKANG,4 ROOM,Premium Apartment,93.0,ANCHORVALE RD,485000.0,2013-01,,2002,16 TO 18,21070,309A,2013-01-01,88.49178082191781,88,1001.0427,484.4948172540492,-3532,16,18,17.0,ANCHORVALE RD 2002,497,2,18,0.9375,526.4510694698638,2022-06-01,2013
SENGKANG,5 ROOM,Improved,115.0,RIVERVALE DR,480000.0,2013-01,,2000,04 TO 06,21068,188C,2013-01-01,86.48904109589041,86,1237.8485,387.7695856964725,-3532,4,6,5.0,RIVERVALE DR 2000,1769,2,20,0.1666666666666666,494.40622176300246,2022-06-01,2013
SENGKANG,4 ROOM,Premium Apartment,91.0,FERNVALE RD,512500.0,2013-01,,2004,19 TO 21,21094,406C,2013-01-01,90.4917808219178,90,979.5149,523.2181766709215,-3532,19,21,20.0,FERNVALE RD 2004,676,2,27,0.72,541.4187959547913,2013-06-01,2013
SEMBAWANG,5 ROOM,Improved,115.0,SEMBAWANG CL,495000.0,2013-01,,1999,01 TO 03,21009,330,2013-01-01,85.48904109589041,85,1237.8485,399.8873852494873,-3532,2,3,2.5,SEMBAWANG CL 1999,1306,2,18,0.03125,448.7221174481369,2022-03-01,2013
SENGKANG,4 ROOM,Model A,91.0,RIVERVALE DR,415000.0,2013-01,,2001,10 TO 12,21044,186D,2013-01-01,87.49178082191781,87,979.5149,423.6791089140145,-3532,10,12,11.0,RIVERVALE DR 2001,1096,2,18,0.5625,541.7168419897024,2022-02-01,2013
SEMBAWANG,5 ROOM,Improved,110.0,CANBERRA RD,505000.0,2013-01,,2001,13 TO 15,21017,418,2013-01-01,87.49178082191781,87,1184.029,426.5098236614137,-3532,13,15,14.0,CANBERRA RD 2001,1328,2,15,0.9230769230769232,536.3287699915298,2022-07-01,2013
SEMBAWANG,5 ROOM,Improved,111.0,WELLINGTON CIRCLE,502000.0,2013-01,,2001,04 TO 06,21016,501A,2013-01-01,87.49178082191781,87,1194.7929,420.1564974147403,-3532,4,6,5.0,WELLINGTON CIRCLE 2001,727,2,15,0.2307692307692307,479.8293522640646,2022-08-01,2013
SEMBAWANG,5 ROOM,Premium Apartment,110.0,ADMIRALTY DR,502000.0,2013-01,,2001,13 TO 15,21015,357A,2013-01-01,87.49178082191781,87,1184.029,423.9761019366924,-3532,13,15,14.0,ADMIRALTY DR 2001,2372,2,20,0.6666666666666666,479.96690692719966,2022-08-01,2013
SEMBAWANG,5 ROOM,Improved,110.0,ADMIRALTY LINK,501000.0,2013-01,,2001,10 TO 12,21014,404,2013-01-01,87.49178082191781,87,1184.029,423.131528028452,-3532,10,12,11.0,ADMIRALTY LINK 2001,452,2,15,0.6923076923076923,454.7932289606279,2013-07-01,2013
SEMBAWANG,5 ROOM,Improved,121.0,SEMBAWANG VISTA,500000.0,2013-01,,1999,01 TO 03,21013,315,2013-01-01,85.48904109589041,85,1302.4319,383.89723101837416,-3532,2,3,2.5,SEMBAWANG VISTA 1999,425,2,18,0.03125,483.0962755135221,2022-08-01,2013
SEMBAWANG,5 ROOM,Premium Apartment,110.0,ADMIRALTY DR,500000.0,2013-01,,2001,10 TO 12,21012,360C,2013-01-01,87.49178082191781,87,1184.029,422.2869541202116,-3532,10,12,11.0,ADMIRALTY DR 2001,2372,2,20,0.5,479.96690692719966,2022-08-01,2013
SEMBAWANG,5 ROOM,Improved,123.0,SEMBAWANG CL,498000.0,2013-01,,1999,10 TO 12,21011,324,2013-01-01,85.48904109589041,85,1323.9597,376.1443796212226,-3532,10,12,11.0,SEMBAWANG CL 1999,1306,2,18,0.5625,448.7221174481369,2022-03-01,2013
